,productId,productName,priceOriginal,priceSale,productLink,imageLink,company,gender,description
24,965554005,Длинное платье из поплина,2 999 Pуб,2 999 Pуб,https://www2.hm.com/ru_ru/productpage.0965554005.html,"https://lp2.hm.com/hmgoepprod?set=source[/be/28/be28b1930b18a8cee07d67a23b6ad9bfa0e6c89c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Длинное платье-трапеция из воздушного хлопкового поплина. Узкие бретели, которые завязываются на спине. Декоративная сборка сверху и присборенный волан с вышивкой ришелье снизу. Без подкладки."
25,982695001,H&M+ Трикотажное платье,1 199 Pуб,1 199 Pуб,https://www2.hm.com/ru_ru/productpage.0982695001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5a/59/5a59f209307c92a65cf599ed92b0cfa1a4a1777d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопкового трикотажа с круглым вырезом горловины и глубокими проймами, а также потайной резинкой на талии."
26,978329001,H&M+ Платье с оборками,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0978329001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5a/43/5a43f9c2220ab9760b9ddcf9cca0e921a8e3e200.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икры из воздушной хлопковой ткани. Бретели с оборками и глубокий вырез спереди, а также сборка и короткая резинка сзади. Без подкладки."
27,984663001,Трикотажное платье без рукавов,799 Pуб,799 Pуб,https://www2.hm.com/ru_ru/productpage.0984663001.html,"https://lp2.hm.com/hmgoepprod?set=source[/a6/15/a61574a5d48ea3346015098f6c7ff2328d045b31.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",HM,Women,Короткое прямое платье из мягкого хлопкового трикотажа. Свободный фасон со слегка заниженной линией плеча и короткими разрезами по бокам на подоле.
28,939314010,Платье из шифона,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0939314010.html,"https://lp2.hm.com/hmgoepprod?set=source[/ca/10/ca10622750302e8f37c5c98498ea8cec9ef616d2.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из шифона с треугольным вырезом. Потайная застежка сверху, а также короткие двухслойные рукава-крылышки. Отрезная модель с закрытой резинкой и съемным поясом на талии. На подкладке."
29,976046003,Теннисное платье,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0976046003.html,"https://lp2.hm.com/hmgoepprod?set=source[/34/d9/34d9a547135f67793c92ed01ae1598f0eb73946a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из мягкого трикотажа в рубчик с отложным воротником, пуговичной планкой и коротким рукавом. Плавно приталенный фасон с юбкой клеш."
30,965878011,Платье без рукавов,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0965878011.html,"https://lp2.hm.com/hmgoepprod?set=source[/ca/1a/ca1a931be3135bd465f8588377411ee68c9edf18.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икр из креповой ткани. Свободная посадка с узкой резинкой и оборкой сверху, а также узкие регулируемые бретели. Без подкладки."
31,992437001,Платье с оборками,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0992437001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8f/2d/8f2d552f4e05bd631e020a54a3d96710ce7d225d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье-трапеция длиной до икр из накрахмаленного хлопкового поплина на регулируемых узких бретелях, сверху закрытая резинка с большими оборками. Без подкладки."
32,939819003,Платье из рельефного трикотажа,1 199 Pуб,1 199 Pуб,https://www2.hm.com/ru_ru/productpage.0939819003.html,"https://lp2.hm.com/hmgoepprod?set=source[/c7/31/c731bb3e1bdfb60f13538ede31439da9a4a52fc7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Облегающее платье длиной до колена из хлопкового трикотажа в рубчик. Узкий крой сверху, широкие бретели и спинка-борцовка."
33,988902001,Платье-рубашка из лиоцелла,1 899 Pуб,1 899 Pуб,https://www2.hm.com/ru_ru/productpage.0988902001.html,"https://lp2.hm.com/hmgoepprod?set=source[/1d/68/1d686e91faf03abbfb4cb1de2fab742c9f2ff465.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икр из воздушной ткани из смесового лиоцелла с глубоким v-образным вырезом горловины и складкой спереди. Свободный силуэт с плавно заниженной линией плеча и длинным рукавом с манжетой на обтянутых пуговицах. Скругленный нижний край, спинка немного удлинена. Без подкладки."
